x,y,theta,x_d,y_d,theta_d,v,w,state_cost,min_Traj_cost,t_mppi
-3.826913833443541,2.185791017487645,-15.181016982633778,2.917775869369507,12.799936294555664,-15.181017,0.10407872498035431,-0.003556042443960905,395.37729787484426,2360.95849609375,0.09526753425598145
-3.3872318266658112,2.1342773460783064,-6.726092649963485,2.917775869369507,12.799936294555664,-6.726093,0.1428864300251007,-0.04122869670391083,383.7735071307493,2272.99462890625,0.02100348472595215
-3.320043562736828,2.1315917959436774,-8.148059620168347,2.917775869369507,12.799936294555664,-8.14806,0.1459583193063736,0.024567268788814545,381.8099140215701,2249.984619140625,0.015552759170532227
-3.320043562736828,2.1315917959436774,-8.148059620168347,2.917775869369507,12.799936294555664,-8.14806,0.1411707103252411,-0.0032149585895240307,381.8099140215701,2236.20849609375,0.014504671096801758
-3.320043562736828,2.1315917959436774,-8.148059620168347,2.917775869369507,12.799936294555664,-8.14806,0.21983136236667633,-0.006593105848878622,381.8099140215701,2222.77734375,0.020152807235717773
-3.178434372297488,2.1298828134313226,-6.726092649963485,2.917775869369507,12.799936294555664,-6.726093,0.19269660115242004,0.03453660383820534,377.5345515016481,2177.406982421875,0.019147634506225586
-3.178434372297488,2.1298828134313226,-6.726092649963485,2.917775869369507,12.799936294555664,-6.726093,0.19879229366779327,0.08085741847753525,377.5345515016481,2159.7841796875,0.0203707218170166
-2.876277923816815,2.144897462334484,-3.876147602844965,2.917775869369507,12.799936294555664,-3.8761477,0.1536865085363388,0.20349936187267303,367.75227968619527,2077.545654296875,0.014116525650024414
-2.876277923816815,2.144897462334484,-3.876147602844965,2.917775869369507,12.799936294555664,-3.8761477,0.2727568745613098,0.2648352384567261,367.75227968619527,2056.422607421875,0.013948917388916016
-2.735870361153502,2.156860352959484,1.8379641046211135,2.917775869369507,12.799936294555664,1.837964,0.2653721272945404,0.2747672200202942,363.09695299622615,1989.911865234375,0.016087770462036133
-2.5943813314661384,2.1688232426531613,6.08045679470583,2.917775869369507,12.799936294555664,6.0804563,0.20816215872764587,0.287224143743515,358.51110432264,1930.81591796875,0.01301717758178711
-2.5943813314661384,2.1688232426531613,6.08045679470583,2.917775869369507,12.799936294555664,6.0804563,0.2528385818004608,0.3480246067047119,358.51110432264,1905.882080078125,0.016780614852905273
-2.4837799080414698,2.1784667945466936,6.08045679470583,2.917775869369507,12.799936294555664,6.0804563,0.31135639548301697,0.37535765767097473,354.9810478902568,1866.649658203125,0.013979434967041016
-2.4837799080414698,2.1784667945466936,6.08045679470583,2.917775869369507,12.799936294555664,6.0804563,0.4431738257408142,0.458484947681427,354.9810478902568,1842.26806640625,0.012415409088134766
-2.3739147176383995,2.187744140625,8.763866603705926,2.917775869369507,12.799936294555664,8.763866,0.44174468517303467,0.43160757422447205,351.5515289514391,1786.8275146484375,0.017232894897460938
-2.3739147176383995,2.187744140625,8.763866603705926,2.917775869369507,12.799936294555664,8.763866,0.444087415933609,0.4541647434234619,351.5515289514391,1763.1611328125,0.014806509017944336
-2.3739147176383995,2.187744140625,8.763866603705926,2.917775869369507,12.799936294555664,8.763866,0.503986656665802,0.4890150725841522,351.5515289514391,1736.9638671875,0.01678180694580078
-2.2220382691011764,2.210205079521984,8.763866603705926,2.917775869369507,12.799936294555664,8.763866,0.486794650554657,0.4888782501220703,346.4002414617046,1688.1121826171875,0.019333839416503906
-2.2220382691011764,2.210205079521984,8.763866603705926,2.917775869369507,12.799936294555664,8.763866,0.5249893665313721,0.4903794229030609,346.4002414617046,1664.1209716796875,0.015186309814453125
-2.0865154250641353,2.249633790459484,15.304606452848315,2.917775869369507,12.799936294555664,15.3046055,0.6065726280212402,0.46733519434928894,340.87953571870617,1589.025146484375,0.013338088989257812
-2.0865154250641353,2.249633790459484,15.304606452848315,2.917775869369507,12.799936294555664,15.3046055,0.571044921875,0.5227278470993042,340.87953571870617,1560.6573486328125,0.012866020202636719
-2.0865154250641353,2.249633790459484,15.304606452848315,2.917775869369507,12.799936294555664,15.3046055,0.6664810180664062,0.5486758351325989,340.87953571870617,1539.891845703125,0.01736903190612793
-1.95650863670744,2.3056640625,16.146557891145218,2.917775869369507,12.799936294555664,16.146559,0.6888753175735474,0.6534027457237244,334.7209978166909,1480.4691162109375,0.012689828872680664
-1.95650863670744,2.3056640625,16.146557891145218,2.917775869369507,12.799936294555664,16.146559,0.7146742343902588,0.6617699861526489,334.7209978166909,1455.197509765625,0.015562295913696289
-1.913352966075763,2.327758787665516,19.011057665171,2.917775869369507,12.799936294555664,19.011057,0.7209327220916748,0.6717543005943298,332.5157689012168,1414.9390869140625,0.016162633895874023
-1.913352966075763,2.327758787665516,19.011057665171,2.917775869369507,12.799936294555664,19.011057,0.7548463344573975,0.6792978644371033,332.5157689012168,1397.2510986328125,0.015360593795776367
-1.913352966075763,2.327758787665516,19.011057665171,2.917775869369507,12.799936294555664,19.011057,0.7932030558586121,0.7176045775413513,332.5157689012168,1374.61962890625,0.016190528869628906
-1.7546710968017578,2.4229736337438226,24.09199124727103,2.917775869369507,12.799936294555664,24.091991,0.8587908744812012,0.6498899459838867,323.7827867889156,1302.885986328125,0.013557910919189453
-1.7546710968017578,2.4229736337438226,24.09199124727103,2.917775869369507,12.799936294555664,24.091991,0.8816870450973511,0.5961552262306213,323.7827867889156,1283.56884765625,0.015192985534667969
-1.5982856742339209,2.5404052757658064,26.925641001714943,2.917775869369507,12.799936294555664,26.92564,0.913743257522583,0.56960529088974,314.13197147781256,1210.09814453125,0.013213396072387695
